,name,basin,year,t0,tf,findex
0,NOT_NAMED,NA,2000,2000-06-07 18:00:00.000040,2000-06-08 12:00:00.000040,1899
1,NOT_NAMED,NA,2000,2000-06-23 00:00:00.000040,2000-06-25 18:00:00.000040,1900
2,ALBERTO,NA,2000,2000-08-03 18:00:00.000040,2000-08-25 06:00:00.000040,1901
3,NOT_NAMED,NA,2000,2000-08-08 12:00:00.000040,2000-08-11 12:00:00.000040,1902
4,BERYL,NA,2000,2000-08-13 18:00:00.000040,2000-08-15 18:00:00.000040,1903
5,CHRIS,NA,2000,2000-08-17 12:00:00.000040,2000-08-19 12:00:00.000040,1904
6,DEBBY,NA,2000,2000-08-19 18:00:00.000040,2000-08-24 12:00:00.000040,1905
7,ERNESTO,NA,2000,2000-09-01 12:00:00.000040,2000-09-03 18:00:00.000040,1906
8,NOT_NAMED,NA,2000,2000-09-08 18:00:00.000040,2000-09-09 12:00:00.000040,1907
9,FLORENCE,NA,2000,2000-09-10 18:00:00.000040,2000-09-17 18:00:00.000040,1908
10,GORDON,NA,2000,2000-09-14 12:00:00.000040,2000-09-21 06:00:00.000040,1909
11,HELENE,NA,2000,2000-09-15 12:00:00.000040,2000-09-25 18:00:00.000040,1910
12,ISAAC,NA,2000,2000-09-21 12:00:00.000040,2000-10-04 06:00:00.000040,1911
13,JOYCE,NA,2000,2000-09-25 12:00:00.000040,2000-10-02 06:00:00.000040,1912
14,KEITH,NA,2000,2000-09-28 18:00:00.000040,2000-10-06 12:00:00.000040,1913
15,LESLIE,NA,2000,2000-10-04 12:00:00.000040,2000-10-10 18:00:00.000040,1914
16,MICHAEL,NA,2000,2000-10-15 12:00:00.000040,2000-10-20 18:00:00.000040,1915
17,NADINE,NA,2000,2000-10-19 12:00:00.000040,2000-10-22 12:00:00.000040,1916
18,NOT_NAMED,NA,2000,2000-10-25 00:00:00.000040,2000-10-29 12:00:00.000040,1917
19,ALLISON,NA,2001,2001-06-05 12:00:00.000040,2001-06-19 00:00:00.000040,1918
20,NOT_NAMED,NA,2001,2001-07-11 18:00:00.000040,2001-07-12 18:00:00.000040,1919
21,BARRY,NA,2001,2001-08-02 12:00:00.000040,2001-08-08 06:00:00.000040,1920
22,CHANTAL,NA,2001,2001-08-14 18:00:00.000040,2001-08-22 12:00:00.000040,1921
23,DEAN,NA,2001,2001-08-22 12:00:00.000040,2001-08-29 12:00:00.000040,1922
24,ERIN,NA,2001,2001-09-01 18:00:00.000040,2001-09-17 00:00:00.000040,1923
25,FELIX,NA,2001,2001-09-07 18:00:00.000040,2001-09-19 00:00:00.000040,1924
26,GABRIELLE,NA,2001,2001-09-11 18:00:00.000040,2001-09-21 18:00:00.000040,1925
27,NOT_NAMED,NA,2001,2001-09-19 18:00:00.000040,2001-09-20 06:00:00.000040,1926
28,HUMBERTO,NA,2001,2001-09-21 12:00:00.000040,2001-09-27 18:00:00.000040,1927
29,IRIS,NA,2001,2001-10-04 12:00:00.000040,2001-10-09 12:00:00.000040,1928
30,JERRY,NA,2001,2001-10-06 12:00:00.000040,2001-10-08 18:00:00.000040,1929
31,KAREN,NA,2001,2001-10-11 06:00:00.000040,2001-10-15 18:00:00.000040,1930
