name,basin,year,t0,tf,findex,usimpact,canadaimpact,mexicoimpact
ALEX,['NA'],2010,6/24/10 18:00,7/2/10 0:00,2072,no,no,yes
NOT_NAMED,['NA'],2010,7/7/10 6:00,7/10/10 0:00,2073,yes,no,yes
BONNIE,['NA'],2010,7/22/10 6:00,7/25/10 18:00,2074,yes,no,no
COLIN,['NA'],2010,8/2/10 12:00,8/8/10 6:00,2075,no,no,no
NOT_NAMED,['NA'],2010,8/10/10 6:00,8/18/10 0:00,2076,yes,no,no
DANIELLE,['NA'],2010,8/21/10 12:00,9/3/10 0:00,2077,no,no,no
EARL,['NA'],2010,8/24/10 0:00,9/6/10 0:00,2078,no,yes,no
FIONA,['NA'],2010,8/30/10 0:00,9/4/10 18:00,2079,no,no,no
GASTON,['NA'],2010,9/1/10 0:00,9/8/10 6:00,2080,no,no,no
HERMINE,"['EP', 'NA']",2010,9/3/10 18:00,9/10/10 0:00,2081,yes,no,yes
IGOR,['NA'],2010,9/8/10 6:00,9/23/10 0:00,2082,no,yes,no
JULIA,['NA'],2010,9/12/10 6:00,9/24/10 18:00,2083,no,no,no
KARL,['NA'],2010,9/13/10 18:00,9/18/10 6:00,2084,no,no,yes
LISA,['NA'],2010,9/20/10 0:00,9/29/10 0:00,2085,no,no,no
MATTHEW,['NA'],2010,9/23/10 12:00,9/26/10 18:00,2086,no,no,yes
NICOLE,['NA'],2010,9/28/10 0:00,9/30/10 12:00,2087,no,no,no
OTTO,['NA'],2010,10/6/10 6:00,10/17/10 18:00,2088,no,no,no
PAULA,['NA'],2010,10/11/10 0:00,10/15/10 18:00,2089,no,no,yes
RICHARD,['NA'],2010,10/19/10 18:00,10/26/10 12:00,2090,no,no,yes
TOMAS,['NA'],2010,10/29/10 6:00,11/10/10 18:00,2091,no,no,no
SHARY,['NA'],2010,10/28/10 18:00,10/30/10 18:00,2092,no,no,no
ARLENE,['NA'],2011,6/28/11 6:00,7/1/11 0:00,2093,no,no,yes
BRET,['NA'],2011,7/16/11 6:00,7/23/11 6:00,2094,no,no,no
CINDY,['NA'],2011,7/20/11 6:00,7/23/11 6:00,2095,no,no,no
DON,['NA'],2011,7/27/11 6:00,7/30/11 6:00,2096,yes,no,yes
EMILY,['NA'],2011,8/2/11 0:00,8/7/11 18:00,2097,no,no,no
GERT,['NA'],2011,8/13/11 6:00,8/17/11 18:00,2098,no,no,no
FRANKLIN,['NA'],2011,8/12/11 12:00,8/16/11 0:00,2099,no,no,no
HARVEY,['NA'],2011,8/19/11 0:00,8/22/11 12:00,2100,no,no,yes
IRENE,['NA'],2011,8/21/11 0:00,8/30/11 0:00,2101,yes,yes,no
NOT_NAMED,['NA'],2011,8/25/11 0:00,8/27/11 0:00,2102,no,no,no
JOSE,['NA'],2011,8/26/11 12:00,8/29/11 12:00,2103,no,no,no
KATIA,['NA'],2011,8/28/11 0:00,9/12/11 18:00,2104,no,no,no
NOT_NAMED,['NA'],2011,8/31/11 12:00,9/3/11 18:00,2105,no,no,no
LEE,['NA'],2011,9/2/11 0:00,9/6/11 18:00,2106,yes,no,no
MARIA,['NA'],2011,9/6/11 18:00,9/16/11 18:30,2107,no,yes,no
NATE,['NA'],2011,9/6/11 18:00,9/12/11 0:00,2108,no,no,yes
OPHELIA,['NA'],2011,9/20/11 6:00,10/4/11 12:00,2109,no,yes,no
PHILIPPE,['NA'],2011,9/23/11 0:00,10/9/11 0:00,2110,no,no,no
RINA,['NA'],2011,10/22/11 0:00,10/29/11 6:00,2111,no,no,yes
SEAN,['NA'],2011,11/6/11 0:00,11/12/11 18:00,2112,no,no,no
ALBERTO,['NA'],2012,5/19/12 0:00,5/23/12 18:00,2113,no,no,no
BERYL,['NA'],2012,5/25/12 12:00,6/2/12 0:00,2114,yes,no,no
CHRIS,['NA'],2012,6/17/12 0:00,6/24/12 12:00,2115,no,no,no
DEBBY,['NA'],2012,6/23/12 12:00,6/27/12 12:00,2116,yes,no,no
ERNESTO,['NA'],2012,8/1/12 12:00,8/10/12 6:00,2117,no,no,yes
FLORENCE,['NA'],2012,8/3/12 6:00,8/8/12 6:00,2118,no,no,no
HELENE,['NA'],2012,8/9/12 18:00,8/19/12 0:00,2119,no,no,yes
GORDON,['NA'],2012,8/15/12 12:00,8/21/12 12:00,2120,no,no,no
ISAAC,['NA'],2012,8/20/12 12:00,9/1/12 6:00,2121,yes,no,no
JOYCE,['NA'],2012,8/21/12 18:00,8/24/12 12:00,2122,no,no,no
LESLIE,['NA'],2012,8/28/12 12:00,9/12/12 0:00,2123,no,yes,no
KIRK,['NA'],2012,8/28/12 18:00,9/3/12 0:00,2124,no,no,no
MICHAEL,['NA'],2012,9/2/12 0:00,9/12/12 6:00,2125,no,no,no
NADINE,['NA'],2012,9/10/12 12:00,10/4/12 6:00,2126,no,no,no
OSCAR,['NA'],2012,10/2/12 12:00,10/5/12 12:00,2127,no,no,no
PATTY,['NA'],2012,10/10/12 18:00,10/13/12 6:00,2128,no,no,no
RAFAEL,['NA'],2012,10/12/12 18:00,10/26/12 12:00,2129,no,no,no
SANDY,['NA'],2012,10/21/12 18:00,10/31/12 12:00,2130,yes,no,no
TONY,['NA'],2012,10/21/12 18:00,10/26/12 12:00,2131,no,no,no
BARBARA,"['EP', 'NA']",2013,5/28/13 12:00,5/30/13 18:00,2132,no,no,yes
ANDREA,['NA'],2013,6/5/13 18:00,6/8/13 18:00,2133,yes,no,no
BARRY,['NA'],2013,6/16/13 0:00,6/21/13 0:00,2134,no,no,yes
CHANTAL,['NA'],2013,7/7/13 12:00,7/10/13 12:00,2135,no,no,no
DORIAN,['NA'],2013,7/22/13 18:00,8/4/13 6:00,2136,yes,no,no
ERIN,['NA'],2013,8/15/13 0:00,8/19/13 18:00,2137,no,no,no
FERNAND,['NA'],2013,8/25/13 12:00,8/26/13 18:00,2138,no,no,yes
GABRIELLE,['NA'],2013,9/4/13 18:00,9/13/13 12:00,2139,no,no,no
NOT_NAMED,['NA'],2013,9/6/13 12:00,9/7/13 6:00,2140,no,no,yes
HUMBERTO,['NA'],2013,9/8/13 0:00,9/19/13 6:00,2141,no,no,no
INGRID,['NA'],2013,9/12/13 6:00,9/17/13 6:00,2142,no,no,yes
JERRY,['NA'],2013,9/28/13 0:00,10/6/13 0:00,2143,no,no,no
KAREN,['NA'],2013,10/3/13 6:00,10/6/13 6:00,2144,no,no,yes
LORENZO,['NA'],2013,10/21/13 6:00,10/26/13 6:00,2145,no,no,no
MELISSA,['NA'],2013,11/17/13 0:00,11/23/13 6:00,2146,no,no,no
NOT_NAMED,['NA'],2013,12/3/13 18:00,12/7/13 12:00,2147,no,no,no
ARTHUR,['NA'],2014,6/28/14 18:00,7/9/14 18:00,2148,yes,yes,no
NOT_NAMED,['NA'],2014,7/19/14 12:00,7/23/14 12:00,2149,no,no,no
BERTHA,['NA'],2014,7/29/14 6:00,8/9/14 12:00,2150,no,no,no
CRISTOBAL,['NA'],2014,8/23/14 18:00,9/2/14 6:00,2151,no,no,no
DOLLY,['NA'],2014,9/1/14 12:00,9/4/14 0:00,2152,no,no,yes
EDOUARD,['NA'],2014,9/10/14 18:00,9/22/14 6:00,2153,no,no,no
FAY,['NA'],2014,10/10/14 0:00,10/13/14 0:00,2154,no,no,no
GONZALO,['NA'],2014,10/11/14 18:00,10/20/14 6:00,2155,no,yes,no
HANNA,['NA'],2014,10/21/14 0:00,10/29/14 18:00,2156,no,no,yes
